var_name,var_description
v2x_polyarchy_osp,Electoral democracy
v2meharjrn_osp,Journalistsâ€™ freedom from harassment
v2meslfcen_osp,Absence of media self-censorship
v2mebias_osp,Media impartiality towards the opposition
v2mecrit_osp,Media criticism of the government
v2merange_osp,Range of media perspectives
v2cldiscm_osp,Freedom of discussion for men
v2cldiscw_osp,Freedom of discussion for women
v2clacfree_osp,Freedom of academic and cultural expression
v2psparban_osp,Absence of party bans
v2psbars_osp,Absence of barriers to parties
v2psoppaut_osp,Opposition parties autonomy
v2cseeorgs_osp,Freedom of forming civil society organizations
v2csreprss_osp,Civil society free from repression
v2elsuffrage,Enfranchisement
v2elembaut_osp,Election management body autonomy
v2elembcap_osp,Election management body capacity
